time step, number of clusters, number of active clusters, number of cells, number of particles, number of tokens, total internal energy, total kinetic energy
1, 1397, 10, 39485, 422, 10, 4.01433e+06, 0.0550971
65, 1272, 9, 39362, 13093, 9, 4.01433e+06, 0.0660326
133, 1272, 9, 39361, 16885, 9, 4.01433e+06, 0.0670156
199, 1274, 9, 39362, 17703, 9, 4.01433e+06, 0.0605763
267, 1275, 9, 39360, 18457, 9, 4.01433e+06, 0.0603789
334, 1276, 9, 39355, 18737, 9, 4.01433e+06, 0.0717099
400, 1276, 9, 39352, 18795, 9, 4.01433e+06, 0.0718809
463, 1275, 9, 39350, 19213, 9, 4.01433e+06, 0.0725059
528, 1276, 9, 39351, 19246, 9, 4.01433e+06, 0.0787993
593, 1279, 9, 39353, 19254, 9, 4.01433e+06, 0.0794857
657, 1279, 9, 39350, 19391, 9, 4.01433e+06, 0.0797776
720, 1289, 9, 39360, 19523, 9, 4.01433e+06, 0.0844176
785, 1300, 9, 39368, 19490, 9, 4.01433e+06, 0.0861931
851, 1312, 9, 39380, 19591, 9, 4.01433e+06, 0.0962432
908, 1329, 9, 39396, 19610, 9, 4.01433e+06, 0.10414
914, 1332, 9, 39399, 19608, 9, 4.01433e+06, 0.105609
980, 1357, 9, 39421, 19671, 9, 4.01433e+06, 0.119065
1043, 1391, 10, 39450, 19718, 10, 4.01433e+06, 0.137842
1107, 1425, 10, 39477, 19723, 10, 4.01433e+06, 0.153825
1173, 1471, 10, 39517, 19537, 10, 4.01433e+06, 0.166599
1233, 1527, 10, 39564, 19662, 10, 4.01433e+06, 0.173946
1294, 1599, 11, 39620, 19815, 11, 4.01433e+06, 0.188748
1357, 1662, 11, 39677, 19942, 11, 4.01433e+06, 0.208189
1419, 1725, 11, 39725, 19907, 11, 4.01433e+06, 0.228241
1483, 1785, 11, 39775, 20003, 11, 4.01433e+06, 0.252956
1541, 1844, 11, 39821, 19873, 11, 4.01433e+06, 0.272925
1600, 1915, 11, 39888, 19845, 11, 4.01433e+06, 0.289657
1663, 1992, 11, 39952, 19797, 11, 4.01433e+06, 0.3154
1721, 2035, 11, 39981, 19970, 11, 4.01433e+06, 0.329494
1778, 2101, 11, 40033, 20044, 11, 4.01432e+06, 0.346743
1833, 2170, 11, 40080, 20025, 11, 4.01432e+06, 0.372652
1892, 2233, 11, 40126, 20005, 11, 4.01432e+06, 0.393796
1909, 2255, 11, 40144, 19991, 11, 4.01432e+06, 0.400037
1945, 2277, 11, 40154, 20069, 11, 4.01432e+06, 0.408588
2000, 2342, 12, 40174, 20038, 12, 4.01432e+06, 0.42137
2053, 2400, 12, 40209, 20028, 12, 4.01432e+06, 0.447998
2111, 2476, 12, 40244, 19999, 12, 4.01432e+06, 0.472794
2167, 2530, 12, 40256, 19973, 12, 4.01432e+06, 0.492409
