time step, number of clusters, number of active clusters, number of cells, number of particles, number of tokens, total internal energy, total kinetic energy
2, 1304, 9, 39393, 0, 9, 4.01433e+06, 0.0542622
84, 1271, 9, 39364, 55, 9, 4.01433e+06, 0.0680896
174, 1272, 10, 39365, 81, 10, 4.01433e+06, 0.0677492
272, 1275, 10, 39357, 96, 10, 4.01433e+06, 0.0752322
366, 1278, 11, 39351, 115, 11, 4.01433e+06, 0.0930178
460, 1280, 10, 39340, 114, 10, 4.01433e+06, 0.106552
554, 1281, 10, 39338, 101, 10, 4.01433e+06, 0.113488
651, 1281, 10, 39336, 104, 10, 4.01433e+06, 0.130333
746, 1280, 10, 39333, 96, 10, 4.01433e+06, 0.138064
840, 1282, 11, 39332, 119, 11, 4.01433e+06, 0.150422
935, 1282, 11, 39331, 115, 11, 4.01433e+06, 0.17038
1003, 1282, 11, 39332, 138, 11, 4.01433e+06, 0.182463
1032, 1282, 11, 39328, 143, 11, 4.01433e+06, 0.185504
1128, 1285, 12, 39317, 152, 12, 4.01433e+06, 0.204272
1222, 1284, 12, 39307, 149, 12, 4.01433e+06, 0.231211
1319, 1285, 12, 39304, 150, 12, 4.01433e+06, 0.260953
1414, 1286, 12, 39301, 142, 12, 4.01433e+06, 0.293826
1508, 1287, 12, 39293, 151, 12, 4.01433e+06, 0.326086
1603, 1286, 12, 39289, 137, 12, 4.01433e+06, 0.366395
1700, 1289, 13, 39282, 168, 13, 4.01433e+06, 0.401685
1794, 1289, 13, 39278, 149, 13, 4.01433e+06, 0.441061
1889, 1290, 13, 39275, 172, 13, 4.01433e+06, 0.477041
1987, 1291, 13, 39251, 166, 13, 4.01433e+06, 0.523185
2002, 1291, 13, 39250, 171, 13, 4.01433e+06, 0.529625
2082, 1290, 13, 39240, 171, 13, 4.01433e+06, 0.549122
2177, 1292, 13, 39217, 158, 13, 4.01433e+06, 0.583386
2271, 1290, 13, 39203, 161, 13, 4.01433e+06, 0.623914
2369, 1292, 13, 39187, 159, 13, 4.01433e+06, 0.668739
2464, 1292, 13, 39166, 167, 13, 4.01433e+06, 0.694519
2559, 1295, 13, 39140, 176, 13, 4.01433e+06, 0.722031
2654, 1297, 14, 39092, 165, 14, 4.01433e+06, 0.737155
2750, 1303, 14, 39069, 167, 14, 4.01433e+06, 0.719067
2845, 1305, 14, 39034, 172, 14, 4.01433e+06, 0.724232
2940, 1304, 13, 38994, 172, 13, 4.01433e+06, 0.729688
3001, 1306, 13, 38972, 166, 13, 4.01433e+06, 0.727867
3037, 1303, 13, 38965, 166, 13, 4.01433e+06, 0.727532
3132, 1300, 13, 38938, 172, 13, 4.01433e+06, 0.743169
3227, 1298, 14, 38927, 187, 14, 4.01433e+06, 0.769601
3321, 1299, 14, 38909, 189, 14, 4.01433e+06, 0.790162
3419, 1303, 14, 38883, 194, 14, 4.01433e+06, 0.815984
3514, 1300, 14, 38863, 216, 14, 4.01433e+06, 0.834011
3608, 1305, 16, 38821, 237, 16, 4.01433e+06, 0.852065
3703, 1309, 16, 38804, 212, 16, 4.01433e+06, 0.879045
