time step, number of clusters, number of active clusters, number of cells, number of particles, number of tokens, total internal energy, total kinetic energy
12, 1271, 9, 39373, 3854, 9, 4.01433e+06, 0.0563526
82, 1273, 9, 39367, 14539, 9, 4.01433e+06, 0.0691864
148, 1270, 9, 39365, 17116, 9, 4.01433e+06, 0.0697357
211, 1271, 9, 39366, 18033, 9, 4.01433e+06, 0.0632588
272, 1273, 9, 39363, 18568, 9, 4.01433e+06, 0.0644927
336, 1273, 9, 39363, 18692, 9, 4.01433e+06, 0.0747806
398, 1274, 9, 39354, 19054, 9, 4.01433e+06, 0.0752164
460, 1276, 9, 39355, 18916, 9, 4.01433e+06, 0.0774638
520, 1276, 9, 39355, 19055, 9, 4.01433e+06, 0.0855695
593, 1277, 9, 39354, 19344, 9, 4.01433e+06, 0.086122
655, 1283, 9, 39353, 19373, 9, 4.01433e+06, 0.0882033
716, 1287, 9, 39351, 19434, 9, 4.01433e+06, 0.0911276
778, 1298, 10, 39361, 19563, 10, 4.01433e+06, 0.0993823
840, 1310, 10, 39369, 19643, 10, 4.01433e+06, 0.112028
902, 1327, 10, 39385, 19709, 10, 4.01433e+06, 0.125018
964, 1347, 10, 39403, 19680, 10, 4.01433e+06, 0.136904
1005, 1371, 10, 39427, 19648, 10, 4.01433e+06, 0.148609
1025, 1380, 10, 39436, 19605, 10, 4.01433e+06, 0.152158
1086, 1413, 10, 39466, 19755, 10, 4.01433e+06, 0.167485
1147, 1452, 10, 39502, 19704, 10, 4.01433e+06, 0.193282
1208, 1506, 10, 39554, 19771, 10, 4.01433e+06, 0.216093
1269, 1539, 10, 39584, 19717, 10, 4.01433e+06, 0.235292
1338, 1621, 10, 39652, 20008, 10, 4.01433e+06, 0.266637
1399, 1687, 10, 39708, 19823, 10, 4.01433e+06, 0.295918
1458, 1747, 10, 39740, 19941, 10, 4.01433e+06, 0.325206
1518, 1806, 11, 39787, 19998, 11, 4.01433e+06, 0.350883
1577, 1856, 11, 39818, 19788, 11, 4.01433e+06, 0.37587
1637, 1911, 11, 39853, 19869, 11, 4.01433e+06, 0.402053
1696, 1985, 11, 39913, 19954, 11, 4.01433e+06, 0.426356
1756, 2043, 12, 39956, 19711, 12, 4.01433e+06, 0.444247
1813, 2106, 12, 39998, 19928, 12, 4.01433e+06, 0.471785
1872, 2181, 12, 40051, 19930, 12, 4.01433e+06, 0.507963
1940, 2253, 13, 40098, 19914, 13, 4.01433e+06, 0.542917
1998, 2315, 13, 40138, 19867, 13, 4.01433e+06, 0.572344
2007, 2325, 13, 40140, 19904, 13, 4.01433e+06, 0.576216
2055, 2388, 13, 40181, 19834, 13, 4.01433e+06, 0.605123
2111, 2443, 13, 40215, 19984, 13, 4.01433e+06, 0.631538
2170, 2499, 13, 40253, 19956, 13, 4.01433e+06, 0.66631
2226, 2565, 13, 40293, 19844, 13, 4.01433e+06, 0.696896
2283, 2632, 13, 40340, 19750, 13, 4.01433e+06, 0.717903
2339, 2679, 13, 40362, 19974, 13, 4.01433e+06, 0.733739
2395, 2720, 13, 40364, 19972, 13, 4.01433e+06, 0.756332
2450, 2772, 13, 40383, 19947, 13, 4.01433e+06, 0.780991
2514, 2837, 13, 40400, 19943, 13, 4.01433e+06, 0.816725
2568, 2887, 13, 40411, 20077, 13, 4.01433e+06, 0.849348
2623, 2939, 13, 40411, 19970, 13, 4.01433e+06, 0.882696
2676, 2994, 13, 40397, 20087, 13, 4.01433e+06, 0.911987
2731, 3039, 13, 40384, 20130, 13, 4.01433e+06, 0.937649
2784, 3090, 13, 40377, 20133, 13, 4.01433e+06, 0.959846
